currency;code;bid;ask
dolar amerykański;USD;3.946;4.0258
dolar australijski;AUD;2.562;2.6138
dolar kanadyjski;CAD;2.9089;2.9677
euro;EUR;4.2735;4.3599
forint (Węgry);HUF;0.010857;0.011077
frank szwajcarski;CHF;4.4826;4.5732
funt szterling;GBP;4.9916;5.0924
jen (Japonia);JPY;0.026167;0.026695
korona czeska;CZK;0.1683;0.1717
korona duńska;DKK;0.5733;0.5849
korona norweska;NOK;0.373;0.3806
korona szwedzka;SEK;0.3812;0.389
SDR (MFW);XDR;5.2298;5.3354
